id,chapter,zoom,image,video,source-credit,source-link,description,lon,lat
1,Asquipata town,15,1Asquipata_pueblo,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/1Asquipata_pueblo.JPG,"It is a district located in the southern of the province called Victor Fajardo. Before the conflict Asquipata was an organized community with a participatory population. They had a very rich social culture as strong artisans' organizations, active authorities and solid wheat business connections. Asquipata also received and managed material support from international cooperation because of their strategic network in Lima, the urban capital.",-73.90780313,-14.05292365
2,Vizcachayoc storage,16,2Vizcachayoc_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/2Vizcachayoc_almacenSL_b.jpg,"Vizcachayoc was a SP camp located in almost the highest part of the Asquipata town. It is said that when Asquipata was declared as a freedom area, it meant a controlled zone, the leftist group built small places to hide and stay temporarily in order to watch people. In addition,  Vizcachayoc is a hut that was used as a warehouse and place to sleep and spend the night. ",-73.93062952,-14.04936016
3,CcehuaCcehua storage,17,3CcehuaCcehua_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/3CcewaCcewa_a.jpg,"CcehuaCcehua was a small place near to Vizcachayoc. It is not visible at first sight because it is covered by vegetation and settled above an agricultural terrace. There are a few remains such us aligned stones that were the base of two old rooms. One used to cook and the other to spend the night and store supplies. Here, the subversives might have cooked their food and rested for short periods. ",-73.937525,-14.0594685
4,Killirka camp,15,4Killirka_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/4Killirka_b.jpg,"In Asquipata, following a path, that only villagers knew, towards the low agricultural area, there is a SP camp called Killirka. This is located in the middle of a forest and settled on a gorge. Killirka showcases the base of stone structures that belonged to a kitchen and benches.  These benches might have been used for listening to lessons given by SP members about war and Marxism. Additionally, they may have also received gun training. Killirka was a strategic site which connected with other towns by walking up and down the mountains. This is the main reason why SP was known as the ' walkers', since they walked across mountains and other kind of geography instead of using cars and helicopters like the armed force. Hence, SP knew the territory very well and used this as a huge advantage to increase their control upon these towns.",-73.92652748,-14.06705071
5,Sayhuapata cave,16,5Sayhuapata,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/5Sayhuapata.JPG,"Sayhuapata is located near the Asquipata town. It was specifically a storage place for weapons, explosives and, perhaps, valuable material as gold. When the armed force captured one of the SP leader in Asquipata, the latter told them about this cave. After the military found the cave location, they went straight to the hideout and took all the objects there.",-73.92297451,-14.0655723
6,Sillacha camp,17,6Sillacha_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/6Sillacha_a.JPG,"This SP site is located near to Chihuire town in Asquipata district. To get there, it is necessary to walk following the outskirts of the mountains. Sillacha is a small building formed by walls made up of stones and mortar. According to testimonies, the area next to this site was used as a training camp. ",-73.963809,-14.10017427
7,Morcolla Chico town,15,7MorcollaChico_pueblo,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/7MorcollaChico_pueblo.JPG,"This is a town in the Asquipata district. Here, the SP and military threatened and killed people during the 1980s. This community was prohibited to trade their agricultural products and animals. On 8th December 1982, the SP attacked villagers during a celebration where 12 civilians, including men and women, were assassinated extrajudicially. ",-73.92751076,-14.10812389
8,Chaucerahuaycco gorge,17,8Chaucerahuaycco,https://gitlab.com/bzdjahna/thesis_videos/-/raw/main/2chauccerahuaycco_video.mp4,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/8Chaucerahuaycco.JPG,"On the 8 December 1982, military arrived in Morcolla Chico in a helicopter in order to capture SP members. They started to shoot aimlessly and this resulted in the death of subversives as well as innocent civilians. In the middle of this shooting, a young SP couple ran towards Chaucerahuaycco, a deep gorge, to avoid to be captured. Then, they jumped into the gorge, fell down and died immediately. Years later, some drought season came and people were concerned because its cultivation areas needed water. Then, villagers thought this might have happened because the subversive's bodies were looking to the sky. People therefore reached out the dead bodies and turned them upside down, and coincidentally it started raining again. This is part of the cosmological believe in these Andean towns. ",-73.92634896,-14.11056616
9,Jesus's journey,15,9Chihuire_Jesus,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/9Chihuire_Jesus.jpg,"Jesus Arotinco was 11 years old when he was approached and used by both military and the SP. He played the important role of messenger for the two of them. On the one hand, military asked him to tell them about the SP's whereabouts. On the other hand, SP comrades obligated him to speak about military plans with them. But one day, the SP accused him of being a snitch, they captured and forced him to walk from the town to the Sillacha camp area. While they walked, Jesus was mistreated, beaten and threatened. Right before they arrived to the destination, the kid was stabbed. He bled to death, then was wrapped with and old duvet and, finally, was buried in an improvised grave there. It is necessary to mention that his family is still waiting for justice.",-73.96262668,-14.09950522
10,Ccocha military base,16,10BMCcocha,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/10BMCcocha.JPG,"Ccocha (a Quechua word which means 'lake') is a town linked to Asquipata district although it is legally part of other district. The school in Ccocha was used as a military base wherein classrooms were adapted into warehouses for supplies and weapons as well as improvised bedrooms. Military commited abuses against this community so villagers had to move away. Consequently, this town is in desolation and currently there are only 16 people. Although the school was opened again after the internal wat, it had to be closed because of lack of students approximately two years ago. ",-73.97198973,-14.11665686
11,Lucanamarca town,15,11Luca_pueblo_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/11Luca_pueblo_a.JPG,"Lucanamarca is an emblematic well known place because of the massacre on the 3rd April 1983. The Shining Path members decided to attack people from Yanaccollpa, Ataccara, Llacchua, Muylacruz and Lucanamarca. Then 69 people, including children, women and elderly, were killed in cold blood. According to the SP's leader, Abimael Guzman, this massacre was the result of a reprisal for the death of Olegario Curitomay, a local comrade. However, other causes that have not been openly discussed yet, have been analyzed by Carola Falcon‹¨«(2012). As Lucanamarca went through a complex period of violence, this generated conflict between the villagers, especially between Lucanamarca and Espite, the neighboring community.",-74.3728922,-13.84403007
12,Lucanamarca cemetery,16,12Luca_cementerionew_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/12Luca_cementerionew_a.JPG,"A special area for the 69 victims from the 3rd April can be found in the south of this cemetery. These victims have been legally registered as such and their names have been written on a monument in the middle of the main plaza in Lucanamarca. This is an emblematic cemetery with victims including eighteen children, a child that was 6 months old and so forth. ",-74.38017481,-13.8441926
13,Piskupunku storage,17,13Piskupunku_abc,https://gitlab.com/bzdjahna/thesis_videos/-/raw/main/3Piskupunku_video.mp4,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/13Piskupunku_a.JPG,"This is a natural rock that was used as a hiding place and a warehouse by the SP. It lies approximately 0.5 km from the Uritupampa town, in Lucanamarca district. This rock has a concave shape with some holes in the surface. These holes were big enough for subversives to enter and stay the night.",-74.38872374,-13.80819219
14,Anccasccocha camp,15,14Anccasccocha_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/14Anccasccocha_a.JPG,"It is located nearby Santa Rosa de Ccocha town. There is no a clear path to access Anccasccocha, so a local guide who knows the terrain, will be necessary. When arriving to Anccasccocha, the encounter of two rivers and a small lake can be seen. Even though, currently this is a natural beautiful sight, this place was a training camp during the internal war.  The SP turned caves into kitchens and spaces to stay overnight. ",-74.42106658,-13.83031761
15,Manchiri town,16,15Manchiri_pueblo,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/15Manchiri_pueblo.JPG,"Manchiri is located in Carapo district, and although its geography depicts a steep surface and a difficult access, it is very well populated. Particularly by young individuals, compared with the towns mentioned above. In the 1980s, the community of Manchiri was under control of the SP. They were obligated to participate in raids against other districts. Nonetheless, some of the locals were also killed by the leftist group.",-74.31594527,-13.78230198
16,Machiri cemetery,17,16Machiri_cementerio,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/16Machiri_cementerio.jpg,This is a cemetery located almost at the top of the town wherein victims of the internal conflict were buried. It is relevant to mention that some internal war victims found in these cemeteries are illegally buried so they still need to be officially registered by the government. ,-74.31399885,-13.78152924
17,Rumiwasi grave,15,17Fosa_Rumiwasi_abc,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/17Fosa_Rumiwasi_a.JPG,"This is a mass grave located in the highest part of Carapo district, close to a lake where villagers do water harvesting. According to testimonies, this grave contains four UPs (Unidentified Person) of aggrieved villagers. It is believed that they were accused of being traitors and that is why the SP killed them. Furthermore, it was not easy for researchers to access Rumiwasi since locals that live nearby were concerned about foreigner's presence in their property.",-74.22393058,-13.79880024
18,Mamasuyana war scenario,16,18Mamasuyana_ab,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/18Mamasuyana_a.JPG,"Mamasuyana is a high hill situated in Pallca town, Sacsamarca district in which a mass grave and a war scenario have been identified. In 21st May 1983, the police and community confronted and counterattacked SP members at Mamasuyana hilltop. Therefore, the mass grave belongs to victims from that event including three SP leaders and a police officer. However, it is known that the rest of subversives scaped towards Chalala cave. ",-74.24911829,-13.87896326
19,Chalala caves,17,19Chalala_abc,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/19Chalala_b.JPG,"Chalala is a group of caves on the side of steep and high cliffs. This place has a strategic location since from there someone is able to see Pallcca and beyond. This place was mainly used as a storage and a refuge because of its suitable features to hide in. After the Pallcca confrontation, it is said that subversives remained hidden in Chalala for at least a month",-74.25581464,-13.86573653
20,Sancos town,15,20Sancos_pueblo,,Source:©Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg_photos/20Sancos_pueblo.JPG,"Sancos is the main district of Huancasancos province therefore the biggest and most populated. This town has better public services and economic resources in comparison to the rest of districts previously mentioned. For example, they have the oldest and most prestigious high School, called the Andes, in the area. Nowadays, the development has reached Sancos since business and agricultural projects are big part of their lives. During the internal war, the town had only the police station that was closed most of the time. Then on 10 March 1983, villagers willingly organised the first Summit of communities to fight subversion.",-74.33485789,-13.91977241
